date,entry_time,exit_time,duration_minutes,status
2026-09-11,19:37:31,21:23:21,105.8,completa
2026-09-12,11:27:12,12:27:12,60.0,completa
2026-09-13,14:28:14,15:36:24,68.2,completa
2026-09-14,20:14:43,21:27:00,72.3,completa
2026-09-15,20:08:38,20:52:52,44.2,completa
2026-09-20,12:13:09,14:14:39,121.5,completa
2026-09-21,19:12:33,20:52:38,100.1,completa
2026-09-23,20:04:00,21:43:03,99.0,completa
2026-09-24,19:16:40,21:16:17,119.6,completa
2026-09-25,17:41:19,19:26:40,105.3,completa
2026-09-26,12:00:42,13:59:57,119.2,completa
